idEla,tema,concepto,acuerdo,fundamento
126,2,libertad_de_culto,A,"TODOS DEBEMOS TENER DERECHO A EJERCER LIBREMENTE NUESTRAS CREENCIAS RELIGIOSAS, CON EL RESPETO DE TODOS."
220,2,libertad_de_culto,A,Todos tienen derecho de decidir en qué creer y de manifestar su fe libremente.
1188,2,libertad_de_culto,A,Derecho a manifestar sin represión alguna nuestros credos.
3457,2,libertad_de_culto,A,las personas deben ser libres de profesión la fe que ellos estimen conveniente sin dañar a nadie
3874,2,libertad_de_culto,P,"Practicar libremente la fe, sin generar violencia ni incitación al odio hacia los demás."
4088,1,libertad_de_culto,A,Derecho a expresar y vivir nuestra fe
4560,1,libertad_de_culto,A,ENTENDIÉNDOSE Y RECONOCIENDO A JESÚS COMO HIJO DE DIOS ÚNICO.
4619,2,libertad_de_culto,A,"porque cada ser humano debe expresar lo que cree, dado que no es un agregado ya que el ser humano es un ser espiritual."
6428,2,libertad_de_culto,A,.
6570,2,libertad_de_culto,A,"Como cristianos se nos debe asegurar nuestra libertad de expresarnos públicamente nuestra fe, sin opresión alguna ni discriminación."
7174,2,libertad_de_culto,A,Cada persona pueda expresar públicamente la fe que profesa sin temor a ser discriminado.
7259,2,libertad_de_culto,A,"Uno de los problemas más grandes en Palestina es la intromisión de la religión en los asuntos de la sociedad, tanto que los derechos y deberes de los ciudadanos están dados por el grupo religioso al que se pertenece.  Para que ello no ocurra, debe garantizarse esta libertad a nivel constitucional."
7290,2,libertad_de_culto,A,COMO CRISTIANOS SE NOS DEBE ASEGURAR NUESTRA LIBERTAD DE PODERNOS REUNIR PARA RENDIR HOMENAJE A DIOS
7369,1,libertad_de_culto,A,Se debe reconocer el aporte que puede entregar cada persona dentro de su libertad de creencia social y espiritual.
7892,2,libertad_de_culto,A,Que todos tengan el derecho a practicar libremente sus creencias religiosas siempre y cuando se respete el derecho a existir del otro. Se debe garantizar la seguridad a todos los credos y religiones que no infrigen los derechos humanos.
9452,1,libertad_de_culto,A,El Estado debe garantizar la libertad de culto de todos los Credos e Iglesias en Chile tanto de derecho público como privado
9588,2,libertad_de_culto,A,"Libre manifestación de las creencias religiosas, que se atengan a la moral, buenas costumbres y orden público"
9873,2,libertad_de_culto,A,"Derecho fundamental de ejercer libremente su creencia y fe, siempre que su expresión de fe no dañe al resto de la comunidad o medio ambiente."
10396,2,libertad_de_culto,A,-Que se pueda expresar una creencia ibremente.  -Dimensión espiritual como relevante para el desarrollo.
10542,1,libertad_de_culto,A,se debe respetar todas las religiones y creencias.
10660,2,libertad_de_culto,A,"Para una libertad de creencias, reuniones y pensamientos."
11212,1,libertad_de_culto,A,El estado debe garantizar la libertad de culto a todos los credos e Iglesias en Chile tanto de derecho público como privado
13029,2,libertad_de_culto,A,derecho a cultivar y expresar la religiosidad  personal y comunitaria para construcción de la paz y el bien común
13070,2,libertad_de_culto,A,"Creemos en el derecho a expresar libremente los diferentes cultos, sin restricción alguna"
13808,2,libertad_de_culto,A,"el Estado y la Constitución deben garantizar la libertad que tiene todo ciudadano para profesar el culto religioso o la creencia que le parezca, siempre y cuando ésta no atente contra la moral o el orden público (sectas, por ejemplo). Esto significa proteger y resguardar las manifestaciones religiosas y los lugares en los que se realiza el culto (Iglesias, capillas, ermitas, etc.). Esto significa también reguardar la imagen pública del credo, al menos en o que se refiere a las declaraciones de autoridades."
14734,2,libertad_de_culto,A,"EL CIUDADANO DEBE TENER LIBERTAD DE EXPRESAR EN FORMA PRIVADA Y PÚBLICA SUS CREENCIAS (LIBERTAD DE CONCIENCIA), ADEMÁS DEBE TENER LIBERTAD DE REUNIRSE CON OTRAS PERSONAS QUE CREEN LO MISMO, EN LUGARES DESTINADOS PARA ELLO O DENTRO DE LAS INSTITUCIONES PÚBLICAS Y PRIVADAS PARA CELEBRAR SUS REUNIONES"
14816,2,libertad_de_culto,A,"Estado que garantice la libertad religiosa de todos sus ciudadanos,"
15457,2,libertad_de_culto,A,"Que este derecho se mantenga en nuestro país. Libertad a congregarse en torno a una creencia, siempre que no atente contra las leyes, la moral y las buenas costumbres."
15588,4,libertad_de_culto,P,Que se pueda adorar a Dios con libertad y respeto.   que exista un registro valido de lideres religiosos en el país.
